Property ID|Property|owner_id|comp_id|Owner|owner_publish|Symbol|pctOwner
5357|Soho Collection|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
5358|The Shops at Riverhead|245|245|Brixmor|Brixmor (BRX)|BRX|1
5359|Dania Pointe|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
5360|Lincoln Square|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|0.9
5361|Family Center at Riverdale|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.1809
5362|Fairfax Junction|30|30|Federal Realty|Federal Realty (FRT)|FRT|1
5363|Melrose Market|76|76|Regency Centers|Regency Centers (REG)|REG|1
5364|North Benson Center|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
5365|Madison Village|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5366|Camelback Miller Plaza|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5367|Lincoln Commons|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
5368|Palm Coast Landing|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
5369|Tri-City Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.1809
5370|Centennial Shopping Center|245|245|Brixmor|Brixmor (BRX)|BRX|1
5371|Plymouth Square Shopping Center|245|245|Brixmor|Brixmor (BRX)|BRX|1
5372|North Decatur Station|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|0.51
5373|The Pruneyard|76|76|Regency Centers|Regency Centers (REG)|REG|1
5374|Circle Marina Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
5375|Landstown Commons|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
5376|Hoboken|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.9
5377|565 Broadway|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
5378|Melrose Place|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
5379|Georgetowne Shopping Center|30|30|Federal Realty|Federal Realty (FRT)|FRT|1
5380|Summerwalk Village|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
5381|Vintage Plaza|22|22|Site Centers|Site Centers (SITC)|SITC|1
5382|The Blocks|22|22|Site Centers|Site Centers (SITC)|SITC|1
5383|Southtown Center|22|22|Site Centers|Site Centers (SITC)|SITC|1
5384|Wonderland Marketplace|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
5385|The Shops at Hilshire Village|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5386|Stevens Creek Central|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5387|Covington Esplanade|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5388|6401 Roosevelt|76|76|Regency Centers|Regency Centers (REG)|REG|1
5389|Northport Center|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
5390|Stevens Ranch|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|0.5
5391|The Shoppes at Wilderness Oaks|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5392|The Whittaker|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5393|Kingswood Center|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
5394|Kingswood Crossing|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
5395|Stevens Creek Corner|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
5396|Village Green Center|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
