sector_id|market_id|Sector|Market|Distance to CBD|Commute Time|Median Household Income|Distance to Interstate|Sum of Interstates|Distance to Air / Rail|Population Density|Unemployment Rate|Distance to Seaport|500-Mile Population Ring|% College Degree|Median Home Age|Grade|Housing Affordability|Median Home Price|Grade Rank|% Office Establishments|Fiscal Health|Supply Barriers|Desirability Index|Cost of Living|Spending Power
1|182|Apartment|Las Vegas|8.50831897|25.15430373|62|3.84798613|53.12638161|6.48915589|3840|0.09919632|238.55501135||0.23674725|37.6025757|B+|Very Cheap|240|30|0.28867338|Stable|Very Low|79.8819218||
1|185|Apartment|Long Island|24.8736478|35.09103128|122|5.02422321|55.83710374|20.12013551|2400|0.06367726|25.23726866||0.41705102|42.06843338|B|Expensive|480|43|0.22977182|Stable|Low|35.62459174||
1|186|Apartment|Los Angeles|12.41643477|31.91731673|77|2.62803502|284.34894408|6.54970203|4800|0.12740003|23.96012057||0.33862502|37.2408097|A-|Very Expensive|650|19|0.24448732|Stable|High|51.42956653||
1|187|Apartment|Louisville|9.55954955|22.87978075|64|1.63377463|120.53514643|5.51587885|1480|0.05153634|9.79122067||0.31768061|38.69068007|C-|Very Cheap|190|50|0.24737271|Concerning|Very Low|33.02930973||
1|188|Apartment|Memphis|11.0851807|22.26248442|57|2.76700066|53.57864584|5.70925293|1940|0.0698866|324.26438411||0.29735414|35.51714624|B-|Very Cheap|130|46|0.23271197|Healthy|Very Low|37.9408383||
1|189|Apartment|Miami|10.42209039|33.85942374|59|6.63479827|28.38982739|6.04250632|4700|0.08101737|11.81301967||0.30596432|40.48057666|A-|Neutral|300|13|0.29337853|Stable|Average|73.25700657||
1|191|Apartment|Minneapolis|11.22403031|25.0276628|87|3.18014615|208.14843861|7.75878282|1230|0.04802941|1025.58003516||0.45090696|37.514536|B|Neutral|270|36|0.28157106|Stable|Very Low|45.10483901||
1|192|Apartment|Nashville|12.06285064|26.8006331|72|2.94093095|143.45131039|7.03203331|920|0.04363324|380.8807321||0.42704439|36.81710596|A-|Neutral|270|21|0.24686525|Stable|Very Low|66.74107479||
1|195|Apartment|New York|8.48510184|41.25255832|78|1.50216938|145.23291809|5.07052968|13340|0.10694395|14.29369378||0.40120643|37.74845688|B+|Very Expensive|660|26|0.25586136|Concerning|Average|50.61401868||
1|197|Apartment|New Jersey (Northern)|10.60005299|33.33655575|98|2.00338253|156.96488689|7.40869056|3990|0.0793392|22.8079648||0.41216061|39.25397019|B|Expensive|440|40|0.2155413|Concerning|Low|47.747727||
1|198|Apartment|Oakland-East Bay|13.52583937|37.20692708|113|2.63178364|150.14889375|8.34627168|2770|0.07372086|14.4898027||0.46377355|38.81841645|A-|Very Expensive|710|9|0.26766613|Stable|High|52.37124116||
1|201|Apartment|Orange County|9.75309776|28.43189687|101|2.65979609|69.46782032|7.04331399|5090|0.07381453|22.58826674||0.41456756|38.92966248|A-|Very Expensive|700|10|0.30185488|Stable|Very High|52.90630599||
1|202|Apartment|Orlando|11.48558562|29.10138813|65|6.24393362|48.75461424|8.43656055|1750|0.05780265|199.95093688||0.34872784|36.26252077|A-|Very Cheap|230|11|0.28043874|Stable|Very Low|83.80712104||
1|203|Apartment|Palm Beach|12.58532177|25.67906008|68|3.48785666|47.63223558|8.14439105|2430|0.04761209|53.29434744||0.38338574|45.60676389|A-|Cheap|270|22|0.3056474|Stable|Low|79.24701633||
