sector_id|market_id|Month|Sector|Market|All Employees: Non Farm NSA (K)
100|1|01/12/2018|GSA Universe|U.S.|151032
100|1|01/01/2019|GSA Universe|U.S.|150832
100|1|01/02/2019|GSA Universe|U.S.|147879
100|1|01/03/2019|GSA Universe|U.S.|148684
100|1|01/04/2019|GSA Universe|U.S.|149359
100|1|01/05/2019|GSA Universe|U.S.|150421
100|1|01/06/2019|GSA Universe|U.S.|151094
100|1|01/07/2019|GSA Universe|U.S.|151716
100|1|01/08/2019|GSA Universe|U.S.|150658
100|1|01/09/2019|GSA Universe|U.S.|151094
100|1|01/10/2019|GSA Universe|U.S.|151511
100|1|01/11/2019|GSA Universe|U.S.|152500
100|1|01/12/2019|GSA Universe|U.S.|153095
100|1|01/01/2020|GSA Universe|U.S.|152846
100|1|01/02/2020|GSA Universe|U.S.|150055
100|1|01/03/2020|GSA Universe|U.S.|150968
100|1|01/04/2020|GSA Universe|U.S.|149952
100|1|01/05/2020|GSA Universe|U.S.|130251
100|1|01/06/2020|GSA Universe|U.S.|133419
100|1|01/07/2020|GSA Universe|U.S.|138501
100|1|01/08/2020|GSA Universe|U.S.|139107
100|1|01/09/2020|GSA Universe|U.S.|140728
100|1|01/10/2020|GSA Universe|U.S.|141946
100|1|01/11/2020|GSA Universe|U.S.|143568
100|1|01/12/2020|GSA Universe|U.S.|144121
100|1|01/01/2021|GSA Universe|U.S.|143602
100|1|01/02/2021|GSA Universe|U.S.|140948
100|1|01/03/2021|GSA Universe|U.S.|141926
100|149|01/02/1990|GSA Universe|Albuquerque|265.1
100|149|01/03/1990|GSA Universe|Albuquerque|267.4
100|149|01/04/1990|GSA Universe|Albuquerque|270.7
