auto_id|comp_id|sector_id|sector_id_nav|Symbol|Sector|NAV Sector|Cap-Ex Reserve|Economic Cap Rate|Nominal Cap Rate|Nominal NOI|Economic NOI|Operating Value of RE|Property Type
18656|240|20|20|NNN|Net Lease|Net Lease|0.02215|0.067765|0.0693|618991.57426147|605280.91089158|8932057.34865041|Net Lease - Retail
18657|255|20|20|STOR|Net Lease|Net Lease|0.02035|0.0764127|0.078|546562.95328923|535440.39718979|7007217.34986191|Net Lease - Retail
18658|255|20|20|STOR|Net Lease|Net Lease|0.0336|0.0705472|0.073|118355.4813692|114378.7371952|1621307.96396165|Net Lease - Industrial
18659|242|20|20|SRC|Net Lease|Net Lease|0.02437|0.07161124|0.0734|355845.81436635|347173.85187024|4848035.61807018|Net Lease - Retail
18660|242|20|20|SRC|Net Lease|Net Lease|0.0405|0.0681328|0.07100865|68062.93496866|65306.38610243|958516.09418341|Net Lease - Industrial
18661|242|20|20|SRC|Net Lease|Net Lease|0.0605|0.07046365|0.07500122|32889.47193116|30899.65887933|438519.16601594|Net Lease - Office
18662|241|20|20|O|Net Lease|Net Lease|0.02365|0.06619653|0.0678|1270736.10066634|1240683.19188558|18742420.3638103|Net Lease - Retail
18663|241|20|20|O|Net Lease|Net Lease|0.0339|0.06549175|0.06778983|177123.06262485|171118.59080187|2612826.54674591|Net Lease - Industrial
18664|241|20|20|O|Net Lease|Net Lease|0.0615|0.07938585|0.08458802|50374.4490034|47276.42038969|595527.01809712|Net Lease - Office
18665|241|20|20|O|Net Lease|Net Lease|0.0615|0.06879205|0.0733|25999.71561466|24400.73310436|354702.80511128|Net Lease - Other
18666|241|20|20|O|Net Lease|Net Lease|0.0237|0.057|0.05838369|100748.89800679|98361.14912403|1725634.19515847|Net Lease - U.K. Retail
18667|249|20|20|VER|Net Lease|Net Lease|0.02989|0.06781763|0.06990716|654709.5817684|635140.31236934|9365415.90714767|Net Lease - Retail
18668|249|20|20|VER|Net Lease|Net Lease|0.04692|0.06977787|0.07321302|175927.69860295|167673.1709845|2402956.30649366|Net Lease - Industrial
18669|249|20|20|VER|Net Lease|Net Lease|0.08585|0.07736592|0.08463153|164235.57586629|150135.95167817|1940595.49925914|Net Lease - Office
18682|324|91|91|MGP|Gaming|Gaming|0.03|0.06305|0.065|723187.2|701491.584|11125956.9230769|Master Lease - Las Vegas
18683|324|91|91|MGP|Gaming|Gaming|0.03|0.061595|0.0635|254092.8|246470.016|4001461.41732283|JV Master Lease
18684|341|91|91|VICI|Gaming|Gaming|0.0045|0.06281605|0.0631|419306.40797581|417419.52913992|6645109.47663728|LV Master Lease
18685|341|91|91|VICI|Gaming|Gaming|0.0015|0.07139275|0.0715|700406.25773406|699355.64834746|9795891.71656032|Regional ML & Joliet Lease
18686|341|91|91|VICI|Gaming|Gaming|0.0015|0.07838225|0.0785|24475.16290967|24438.4501653|311785.51477282|Margaritaville Lease
18687|341|91|91|VICI|Gaming|Gaming|0.0015|0.075886|0.076|57907.19394798|57820.33315705|761936.76247337|Greektown Lease
18688|341|91|91|VICI|Gaming|Gaming|0.0015|0.075886|0.076|45200.93916083|45133.13775209|594749.19948461|Cincinnati Lease
18689|341|91|91|VICI|Gaming|Gaming|0.0015|0.0764851|0.0766|26349.85623892|26310.33145456|343992.90129135|Century Portfolio
18690|341|91|91|VICI|Gaming|Gaming|0.0015|0.07498735|0.0751|68634.60577647|68531.6538678|913909.53097827|JACK Cleveland Thistledown Lease
18691|341|91|91|VICI|Gaming|Gaming|0.0015|0.06240625|0.0625|260374.07350709|259983.51239683|4165985.17611339|The Venetian
18692|341|91|91|VICI|Gaming|Gaming|0.001|0.0940725|0.09416666|30140.90274918|30110.76184643|320080.3893986|Golf Courses
18905|314|91|91|GLPI|Gaming|Gaming|0.03|0.070131|0.0723|461821.98284707|447967.32336165|6387579.29249052|PENN Master Lease
18906|314|91|91|GLPI|Gaming|Gaming|0.03|0.07275|0.075|328673.44376542|318813.24045246|4382312.58353896|Amended Pinnacle Master Lease
18907|314|91|91|GLPI|Gaming|Gaming|0.03|0.074011|0.0763|86706.82665841|84105.62185865|1136393.53418618|ERI Master Lease and Mortgage
18908|314|91|91|GLPI|Gaming|Gaming|0.03|0.072362|0.0746|98300.07508994|95351.07283724|1317695.37654069|BYD Master Lease and Mortgage
18909|314|91|91|GLPI|Gaming|Gaming|0.03|0.076145|0.0785|6455.51525284|6261.84979526|82235.86309354|BYD Belterra Lease
18910|314|91|91|GLPI|Gaming|Gaming|0.03|0.076145|0.0785|25118.70493498|24365.14378693|319983.50235644|PENN - Meadows Lease
18911|314|91|91|GLPI|Gaming|Gaming|0.03|0.085845|0.0885|33239.63802387|32242.44888316|375589.13021325|Casino Queen Lease
18912|314|91|91|GLPI|Gaming|Gaming|0.03|0.072168|0.0744|40422.76301091|39210.08012058|543316.70713591|Twin River Master Lease
18913|314|91|91|GLPI|Gaming|Gaming|0.03|0.076145|0.0785|23045.01719252|22353.66667675|293567.0979939|Lumiere Lease
18920|105|8|8|SUI|Manufactured Home Park|Manufactured Home Park|0.10252648|0.03846988|0.04286464|471526.96524029|423182.96524029|11000372.3529118|MH
18921|105|8|8|SUI|Manufactured Home Park|Manufactured Home Park|0.12801953|0.03939409|0.04517772|193136.85693663|168411.56693663|4275046.46417106|RV
18922|57|8|8|ELS|Manufactured Home Park|Manufactured Home Park|0.10620766|0.03547403|0.03968934|416602.24375|372355.89375|10496576.9515211|Conventional MH
18923|57|8|8|ELS|Manufactured Home Park|Manufactured Home Park|0.20203129|0.03630758|0.0455|143416.104|114441.564|3152002.28571429|Resort
18924|57|8|8|ELS|Manufactured Home Park|Manufactured Home Park|0.49796203|0.02811413|0.056|24162.48475|12130.48475|431472.94196428|Membership
18925|347|1|1|AIRC|Apartment|Apartment|0.17512293|0.03464484|0.042|420907.435|347196.89352753|10021605.5952381|Apartment
18926|116|1|1|AVB|Apartment|Apartment|0.11339192|0.03679424|0.0415|1361036.94186|1206706.35515886|32796070.8881928|Apartment
18927|18|1|1|CPT|Apartment|Apartment|0.19741428|0.03491248|0.0435|626984.53379571|503208.83399385|14413437.558522|Apartment
18928|27|1|1|EQR|Apartment|Apartment|0.11176585|0.03464113|0.039|1496999.71813333|1329686.26490351|38384608.157265|Apartment
18929|148|1|1|ESS|Apartment|Apartment|0.15854596|0.03449962|0.041|911193.90491213|766727.79171434|22224241.5832228|Apartment
18930|150|1|1|MAA|Apartment|Apartment|0.17526917|0.03834998|0.0465|993297.27187002|819202.88461644|21361231.6531186|Apartment
18931|94|1|1|UDR|Apartment|Apartment|0.1602504|0.03442973|0.041|771158.29012|647579.8675875|18808738.7834146|Apartment
18932|167|12|12|ACC|Student Housing|Student Housing|0.13557143|0.03587379|0.0415|396331.68041335|342600.4283116|9550160.97381566|Student Housing
18933|244|30|30|AMH|Single-Family Rental|Single-Family Rental|0.15916916|0.04128646|0.04910199|721085.34508628|606310.79508628|14685461.7674648|Single-Family Rental
18934|267|30|30|INVH|Single-Family Rental|Single-Family Rental|0.16064817|0.03833101|0.04566739|1197802.6017085|1005377.8017085|26228838.9462361|Single-Family Rental
19020|181|4|23|HR|Health Care|Health Care - Medical Office|0.185|0.04480615|0.05497687|302452.3125|246498.6346875|5501446.4193825|Medical Office Buildings
19021|181|4|21|HR|Health Care|Health Care - Hospital|0.0025|0.069825|0.07|12866.85|12834.682875|183812.14285714|Hospitals
19022|181|4|4|HR|Health Care|Health Care|0.3|0.056|0.08|4513.925|3159.7475|56424.0625|Other
19023|236|4|23|HTA|Health Care|Health Care - Medical Office|0.185|0.044825|0.055|480198.628|391361.88182|8730884.14545455|Medical Office Buildings
19024|236|4|21|HTA|Health Care|Health Care - Hospital|0.0025|0.0798|0.08|30431.492|30355.41327|380393.65|Hospitals
19025|236|4|31|HTA|Health Care|Health Care - Senior Housing (NNN)|0.0025|0.0748125|0.075|5157.88|5144.9853|68771.73333333|Senior Housing (NNN)
19026|269|4|25|SBRA|Health Care|Health Care - Skilled Nursing|0.0025|0.1047375|0.105|302382.2828125|301626.32710547|2879831.26488095|Skilled Nursing
19027|269|4|31|SBRA|Health Care|Health Care - Senior Housing (NNN)|0.0025|0.069825|0.07|50257.9515625|50132.30668359|717970.73660714|Senior Housing (NNN)
19028|269|4|32|SBRA|Health Care|Health Care - Senior Housing (RIDEA)|0.225|0.03876784|0.05002301|69309.74375|53715.05140625|1385557.12365591|Senior Housing (RIDEA)
19029|269|4|21|SBRA|Health Care|Health Care - Hospital|0.0025|0.0748125|0.075|55323.19375|55184.88576563|737642.58333333|Hospitals
19030|213|4|25|OHI|Health Care|Health Care - Skilled Nursing|0.0025|0.10723125|0.1075|722902.07863025|721094.82343367|6724670.498886|Skilled Nursing
19031|213|4|31|OHI|Health Care|Health Care - Senior Housing (NNN)|0.0025|0.05985|0.06|127279.80886976|126961.60934758|2121330.14782925|Senior Housing (NNN)
